SP1,22/09/2018,Getafe,Ath Madrid,0,2,null,null,null,null,null,null,1,1,1,1,2,2,3,3,0.67,0.67,1,1;
SP1,22/09/2018,Real Madrid,Espanol,1,0,null,null,null,null,null,null,2,2,1,1,7,1,4,2,2.33,0.33,1.33,0.67;
SP1,23/09/2018,Barcelona,Girona,2,2,null,null,null,null,null,null,2,2,2,2,13,4,2,3,4.33,1.33,1,1.5;
SP1,22/09/2018,Vallecano,Alaves,1,5,null,null,null,null,null,null,1,1,2,2,2,9,1,9,1,4.5,0.33,3;
SP1,23/09/2018,Betis,Ath Bilbao,2,2,null,null,null,null,null,null,2,2,1,1,3,5,2,2,1,1.67,2,2;
SP1,23/09/2018,Levante,Sevilla,2,6,null,null,null,null,null,null,1,1,1,1,5,10,7,7,1.67,3.33,2.33,2.33;
SP1,23/09/2018,Villarreal,Valencia,0,0,null,null,null,null,null,null,1,1,1,1,1,3,4,2,0.33,1,1.33,0.67;
SP1,25/09/2018,Ath Madrid,Huesca,3,0,null,null,null,null,null,null,1,1,1,1,5,1,15,5,1.67,0.33,3.75,1.25;
SP1,25/09/2018,Espanol,Eibar,1,0,null,null,null,null,null,null,3,3,1,1,4,0,4,1,1.33,0,1.33,0.33;
SP1,25/09/2018,Sociedad,Vallecano,2,2,null,null,null,null,null,null,1,1,2,2,3,4,3,3,1.5,2,1,1;
SP1,26/09/2018,Ath Bilbao,Villarreal,0,3,null,null,null,null,null,null,1,1,2,2,5,7,0,4,1.25,1.75,0,1.33;
SP1,26/09/2018,Leganes,Barcelona,2,1,null,null,null,null,null,null,1,1,3,3,4,4,3,4,1.33,1.33,1,1.33;
SP1,26/09/2018,Sevilla,Real Madrid,3,0,null,null,null,null,null,null,1,1,1,1,3,2,5,5,1,0.67,1.67,1.67;
SP1,26/09/2018,Valencia,Celta,1,1,null,null,null,null,null,null,1,1,1,1,2,2,5,5,0.67,0.67,1.67,1.67;
